
137.910477 -3016.365234 4205.935059  -0.156507 -0.877444 -0.453429
132.408600 -2548.917236 354.054688  -0.147432 0.671451 -0.726235
178.908676 -3187.187988 -2154.394531  -0.257268 -0.334558 -0.906578
175.757507 -4116.367188 -6028.413574  -0.419066 0.907158 -0.038056
118.399971 -1618.098877 -4445.948730  -0.008389 0.606937 0.794706
165.986053 4509.397461 -122.905792  -0.108753 0.037086 0.993377
149.468140 -430.189728 3869.559326  0.107727 -0.932667 -0.344278
213.164444 -3269.758545 1719.304077  -0.174810 0.464838 -0.867967
142.807816 -3590.423096 -2841.342285  -0.110604 -0.625492 -0.772351
274.108765 -2612.509766 -6425.255859  -0.224338 0.790336 0.570124
171.199524 -232.052353 -3084.218506  -0.045808 0.965149 0.257662
833.706665 3728.818115 -3599.013184  0.196263 0.869506 0.453256
138.126694 2090.570068 3945.166016  -0.171494 -0.982396 -0.074085
